danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,,,,,,,,
0.931,0.273,5,-11.723,0,0.176,0.00946,0,0.137,0.0603,119.956,Dark Trap,,,,,,,,
0.898,0.547,3,-5.707,0,0.313,0.484,1.04E-05,0.37,0.763,200.02,Dark Trap,,,,,,,,
0.835,0.559,5,-5.617,1,0.0327,0.00177,5.50E-05,0.116,0.267,133.052,Dark Trap,,,,,,,,
0.716,0.745,1,-6.374,1,0.318,0.216,0,0.103,0.0971,208.054,Dark Trap,,,,,,,,
0.723,0.459,11,-10.259,1,0.239,0.00096,0,0.11,0.313,139.972,Dark Trap,,,,,,,,
0.849,0.736,9,-6.661,1,0.147,0.00493,0,0.0757,0.271,147.904,Dark Trap,,,,,,,,
0.762,0.509,1,-7.354,1,0.0631,0.148,0,0.155,0.0671,120.054,Dark Trap,,,,,,,,
0.756,0.74,1,-4.531,1,0.0563,0.00834,0.171,0.646,0.308,123.049,Dark Trap,,,,,,,,
0.727,0.846,8,-3.555,1,0.194,0.0245,0,0.143,0.529,131.984,Dark Trap,,,,,,,,
0.783,0.497,1,-7.652,1,0.0508,0.0716,0.6,0.124,0.0381,212.026,Dark Trap,,,,,,,,
0.841,0.576,0,-7.593,0,0.125,0.289,0,0.105,0.278,192.008,Dark Trap,,,,,,,,
0.685,0.402,0,-8.076,0,0.0734,0.208,0.0206,0.402,0.107,119.917,Dark Trap,,,,,,,,
0.556,0.449,7,-10.363,1,0.227,0.0807,0.0372,0.446,0.484,179.968,Dark Trap,,,,,,,,
0.625,0.45,9,-9.985,1,0.0311,0.0776,0.000217,0.117,0.0362,185.948,Dark Trap,,,,,,,,
0.8,0.824,8,-5.159,1,0.0604,0.0128,0.000221,0.0527,0.462,150.023,Dark Trap,,,,,,,,
0.734,0.724,11,-5.648,1,0.267,0.0133,0,0.248,0.256,170.05,Dark Trap,,,,,,,,
